percentage,run_index,time_s
5,1,504.234727
5,2,498.465522
5,3,497.599992
10,1,438.726253
10,2,435.459095
10,3,439.562329
15,1,417.102379
15,2,413.759755
15,3,415.696362
20,1,403.407791
20,2,404.488128
20,3,402.546666
25,1,399.187133
25,2,401.758027
25,3,399.785771
30,1,394.503996
30,2,395.064153
30,3,395.994543
35,1,392.869289
35,2,392.434422
35,3,392.836030
40,1,392.200368
40,2,393.506375
40,3,388.512591
45,1,388.242394
45,2,390.862551
45,3,387.238188
50,1,382.945172
50,2,385.770063
50,3,391.074768
55,1,386.247341
55,2,385.678728
55,3,387.125248
60,1,385.907040
60,2,386.225261
60,3,385.814278
65,1,384.628340
65,2,388.280425
65,3,387.064826
70,1,387.150993
70,2,386.015666
70,3,387.204451
75,1,386.895268
75,2,384.808510
75,3,386.736365
80,1,385.252115
80,2,388.425756
80,3,388.478240
85,1,384.493360
85,2,386.388938
85,3,383.817833
90,1,381.797312
90,2,386.896735
90,3,384.308117
95,1,383.902467
95,2,396.046515
95,3,383.973221
100,1,385.614618
100,2,385.993591
100,3,385.098406
