percentage,run_index,network_init_s,gpu_time_s,total_time_s
5,1,276.390074,227.844653,504.234727
5,2,272.332508,226.133014,498.465522
5,3,271.738473,225.861519,497.599992
10,1,275.069289,163.656963,438.726253
10,2,272.688736,162.770358,435.459095
10,3,275.565543,163.996786,439.562329
15,1,272.763421,144.338958,417.102379
15,2,272.373058,141.386697,413.759755
15,3,273.021893,142.674469,415.696362
20,1,272.532705,130.875086,403.407791
20,2,274.105990,130.382137,404.488128
20,3,272.689679,129.856986,402.546666
25,1,274.141716,125.045417,399.187133
25,2,277.376935,124.381093,401.758027
25,3,273.391699,126.394073,399.785771
30,1,273.977248,120.526747,394.503996
30,2,273.482579,121.581575,395.064153
30,3,275.301553,120.692990,395.994543
35,1,275.671367,117.197922,392.869289
35,2,274.946484,117.487938,392.434422
35,3,274.134765,118.701264,392.836030
40,1,274.859513,117.340856,392.200368
40,2,275.194975,118.311400,393.506375
40,3,271.090804,117.421786,388.512591
45,1,272.436278,115.806116,388.242394
45,2,274.004177,116.858375,390.862551
45,3,269.879136,117.359052,387.238188
50,1,268.567878,114.377294,382.945172
50,2,270.281142,115.488921,385.770063
50,3,276.244485,114.830282,391.074768
55,1,272.198597,114.048744,386.247341
55,2,269.663621,116.015107,385.678728
55,3,273.239482,113.885766,387.125248
60,1,271.883182,114.023858,385.907040
60,2,271.600366,114.624896,386.225261
60,3,272.808003,113.006275,385.814278
65,1,271.154032,113.474308,384.628340
65,2,273.748847,114.531578,388.280425
65,3,272.475664,114.589162,387.064826
70,1,273.504704,113.646289,387.150993
70,2,272.572441,113.443226,386.015666
70,3,274.969920,112.234531,387.204451
75,1,274.861279,112.033989,386.895268
75,2,271.792086,113.016424,384.808510
75,3,273.463200,113.273165,386.736365
80,1,273.419925,111.832190,385.252115
80,2,275.943988,112.481768,388.425756
80,3,276.471517,112.006722,388.478240
85,1,271.451043,113.042317,384.493360
85,2,273.435645,112.953293,386.388938
85,3,272.567050,111.250783,383.817833
90,1,269.767398,112.029914,381.797312
90,2,275.081457,111.815278,386.896735
90,3,272.160517,112.147600,384.308117
95,1,273.131888,110.770578,383.902467
95,2,273.324867,122.721648,396.046515
95,3,273.225201,110.748020,383.973221
100,1,275.026078,110.588539,385.614618
100,2,273.606286,112.387306,385.993591
100,3,273.698695,111.399712,385.098406
