timestamp,percentage,M,phase,trial,network_init_s,gpu_time_s,total_time_s,return_code,note
2025-11-18 06:57:13,20,32000,search,1,268.685307,200.097754,468.783061,0,
2025-11-18 07:05:06,20,32000,replicate,1,272.822805,199.542046,472.364852,0,
2025-11-18 07:12:51,40,56000,search,1,267.701542,195.773405,463.474947,0,
2025-11-18 07:20:47,40,61601,search,2,269.367098,206.354697,475.721795,0,
2025-11-18 07:28:39,40,58800,search,3,269.702192,201.441925,471.144117,0,
2025-11-18 07:36:38,40,58800,replicate,1,268.382814,209.524139,477.906953,0,
2025-11-18 07:44:31,60,70000,search,1,269.201346,202.050487,471.251832,0,
2025-11-18 07:52:22,60,70000,replicate,1,269.893475,200.807458,470.700933,0,
2025-11-18 08:00:12,80,80000,search,1,268.373816,200.658489,469.032305,0,
2025-11-18 08:08:08,80,80000,replicate,1,267.655657,206.867060,474.522717,0,
2025-11-18 08:16:05,100,90000,search,1,268.147032,207.524252,475.671283,0,
2025-11-18 08:23:53,100,81818,search,2,267.988076,199.690561,467.678637,0,
2025-11-18 08:31:38,100,81818,replicate,1,266.312782,197.464775,463.777557,0,
